('传祺GS4 2017款 200T G-DCT两驱精英版', 'https://image1.guazistatic.com/qn180225220510c50086c50ddb636e49f89f22926832db.jpg', '2015年', '10.00万', '13.70万')
('传祺GS5 2012款 2.0L 自动两驱精英版', 'https://image.guazistatic.com/gz01180404/19/24/db01b63e5386b33b9923a4a478e81db3.jpg', '2.6万公里', '7.00万', '16.30万')
('传祺GS5 2013款 1.8T 自动两驱精英版', 'https://image1.guazistatic.com/qn1803201845422ad59daaf952198202b7f523b5aaac1a.jpg', '2015年', '8.20万', '17.80万')
('传祺GS4 2015款 200T G-DCT豪华版', 'https://image1.guazistatic.com/qn1803241136081640ea0607c4e5e060918199f1d08823.jpg', '2.5万公里', '10.00万', '14.80万')
('传祺GS4 2015款 200T G-DCT豪华版', 'https://image1.guazistatic.com/qn18062513460779cb2775a5ec7ed026631d352acdf63c.jpg', '2015年', '8.50万', '14.80万')
('传祺GS4 2015款 200T G-DCT精英版', 'https://image1.guazistatic.com/qn180525151039c987bf384df22ea4d251c89fbb0fa31a.jpg', '7.3万公里', '7.60万', '13.70万')
('传祺GS4 2015款 200T G-DCT尊贵版', 'https://image.guazistatic.com/gz01180404/18/55/6293dfaf787baf04a39a3f0c8e273429.jpg', '2016年', '9.50万', '15.90万')
('传祺GS5 2013款 2.0L 自动两驱浅内特别版', 'https://image.guazistatic.com/gz01180701/14/23/8eb5dc5f9ad151b1f4aecbec368e0ebb.jpg', '5.1万公里', '7.00万', '17.00万')
('传祺GS4 2017款 235T 自动两驱豪华智联版', 'https://image.guazistatic.com/gz01180609/13/54/47f82043364cdc98c92a7ba55f5114b3.jpg', '2015年', '11.00万', '15.60万')
('传祺GS4 2016款 235T G-DCT豪华版', 'https://image1.guazistatic.com/qn1803201918046a2fc891c767a7e1192e70db1adc8866.jpg', '4.1万公里', '8.90万', '15.60万')
('传祺GS3 2017款 200T 自动精英版', 'https://image.guazistatic.com/gz01180615/14/22/18275c9cf391f42f83cd44734f7d4d33.jpg', '2018年', '7.95万', '10.50万')
('传祺GS4 2015款 200T 手动精英版', 'https://image.guazistatic.com/gz01180401/16/09/3c75596a0d2421f6a329ff27172e36a5.jpg', '3.1万公里', '7.80万', '11.80万')
('传祺GS5 2014款 2.0L 自动两驱超享版', 'https://image1.guazistatic.com/qn1712140035097b09bdd2c9624b1a85929a61412e85ec.jpg', '2015年', '7.00万', '14.80万')
('传祺GA8 2017款 280T 尊享版', 'https://image1.guazistatic.com/qn18071113160324eed955d3c66a4fd400cc0c1372743a.jpg', '1.7万公里', '11.50万', '17.30万')
('传祺GS5 2014款 2.0L 自动两驱超享版', 'https://image1.guazistatic.com/qn180518175817e2878ef904ecb6ebf51deb884c029816.jpg', '6.4万公里', '7.90万', '14.80万')
('传祺GS5 2012款 2.0L 自动两驱周年纪念版', 'https://image1.guazistatic.com/qn171013162639f74dcebc6e812bc9491e039e7e0a58fa.jpg', '2016年', '7.50万', '17.00万')
('传祺GS4 2017款 235T G-DCT两驱精英版', 'https://image1.guazistatic.com/qn180315155547a70fd3a7fa62b9f09de1a65b53a84f03.jpg', '8.3万公里', '10.00万', '14.50万')
('传祺GS4 2017款 200T G-DCT两驱精英版', 'https://image.guazistatic.com/gz01180409/11/34/95a74cbc18ecf27908f920d418d4c426.jpg', '2016年', '9.60万', '13.70万')
('传祺GS5 Super 2015款 2.0L 手动两驱舒适版', 'https://image.guazistatic.com/gz01180624/12/15/92f7813fd5df53a86d5bf3b6af3c071c.jpg', '2017年', '7.10万', '13.80万')
('传祺GS4 2016款 235T G-DCT精英版', 'https://image1.guazistatic.com/qn180603083945d75e7e991abe7462e8abaad29641025d.jpg', '2014年', '10.50万', '14.50万')
('传祺GS5 2014款 2.0L 自动两驱周年增值版', 'https://image.guazistatic.com/gz01180610/11/58/17d48c73c2b34020232af80a976cb5b7.jpg', '1.3万公里', '7.38万', '17.00万')
('传祺GS5 Super 2015款 1.8T 自动两驱豪华导航版', 'https://image1.guazistatic.com/qn180619195626c569a30bbe9d53a53b220fcfda832675.jpg', '2016年', '8.99万', '18.90万')
('传祺GA5 2012款 2.0L 自动豪华版', 'https://image1.guazistatic.com/qn1712161736190fbe7d15a15947f40faa69ed9819c482.jpg', '2.0万公里', '5.28万', '17.00万')
('传祺GS4 2016款 235T G-DCT尊贵版', 'https://image.guazistatic.com/gz01180605/10/37/71a0797ee105437d66a5d20e324e3ebf.jpg', '5.7万公里', '10.20万', '16.70万')
('传祺GS4 2017款 235T 自动两驱精英版', 'https://image1.guazistatic.com/qn180521151414c1d5c75dfbaa8d8c8f8e84a9141ef7be.jpg', '3.8万公里', '10.00万', '14.50万')
('传祺GA6 2016款 235T 自动豪华版', 'https://image.guazistatic.com/gz01180412/17/07/2ec7c669a8ab39665d9f02a37e253d92.jpg', '3.0万公里', '9.20万', '14.80万')
('传祺GS5 2014款 2.0L 自动两驱超享版', 'https://image.guazistatic.com/gz01180702/16/44/87833055f00af5cba3dfeb7ae285223c.jpg', '2017年', '7.00万', '14.80万')
('传祺GA5 2012款 2.0L 自动精英版', 'https://image1.guazistatic.com/qn18070918250141031ff4b4b23139cf2e2cab044d122f.jpg', '2013年', '5.50万', '15.60万')
('传祺GS4 2017款 235T 自动两驱豪华智联版', 'https://image.guazistatic.com/gz01180607/15/44/469933fa471217ce3c73f240ec01eca7.jpg', '2014年', '11.00万', '15.60万')
('传祺GS5 Super 2016款 2.0L 自动两驱周年纪念版', 'https://image1.guazistatic.com/qn1803111329143289930b89f772513aafca1c5f71b314.jpg', '2012年', '8.80万', '15.20万')
('传祺GA5 2012款 1.8L 手动精英型', 'https://image.guazistatic.com/gz01180619/10/31/4e0eaa42cdf48bf8565e0fe821a6f4f1.jpg', '2018年', '3.98万', '13.70万')
('传祺GS5 2012款 2.0L 自动两驱精英版', 'https://image1.guazistatic.com/qn1807081638324b62b3ab8aa0d939911d2e46a95d5c9d.jpg', '1.4万公里', '4.78万', '16.30万')
('传祺GS4 2015款 200T 手动精英版', 'https://image.guazistatic.com/gz01180622/13/31/e8f0f30e5113225787b9c7245fef316d.jpg', '0.4万公里', '6.65万', '11.80万')
('传祺GS4 2015款 200T G-DCT豪华版', 'https://image.guazistatic.com/gz01180704/18/00/6037983b6e3a63b452684d51ec1dac87.jpg', '7.5万公里', '9.00万', '14.80万')
('传祺GA6 2016款 235T 自动豪华版', 'https://image1.guazistatic.com/qn18031912034625f47603e23041325ea506e15b94827b.jpg', '7.4万公里', '9.25万', '14.80万')
('传祺GS4 2015款 200T G-DCT豪华版', 'https://image.guazistatic.com/gz01180415/15/18/298a3d18b783220d055618b1be45b0e8.jpg', '6.6万公里', '8.60万', '14.80万')
('传祺GS4 2017款 235T 自动两驱精英版', 'https://image1.guazistatic.com/qn1806250708566a728e17f3972ba8dad2a58a336dd063.jpg', '2014年', '9.28万', '14.50万')
('传祺GA3 2013款 1.6L 自动豪华ESP版', 'https://image.guazistatic.com/gz01180509/15/51/ccb9402010550127500e18f29387fbde.jpg', '2015年', '5.50万', '10.10万')
('传祺GS4 2015款 200T 手动精英版', 'https://image.guazistatic.com/gz01180521/11/09/4b542ebd2b118672b84e74a7b3f96546.jpg', '2015年', '6.80万', '11.80万')
('传祺GS4 2015款 200T G-DCT尊贵版', 'https://image.guazistatic.com/gz01180630/11/18/261c411ab532373465060568b2ecfc2d.jpg', '2.5万公里', '10.00万', '15.90万')
('传祺GS4 2015款 200T G-DCT豪华版', 'https://image1.guazistatic.com/qn18030908083815bdb4f05ce95a10428b96bab9938395.jpg', '2012年', '8.88万', '14.80万')
('传祺GS4 2017款 235T 自动两驱豪华智联版', 'https://image1.guazistatic.com/qn180607030751e8580a8791aa64dbf1e742ef45c4c9a8.jpg', '2016年', '10.00万', '15.60万')
('传祺GS5 Super 2015款 1.8T 自动两驱豪华导航版', 'https://image.guazistatic.com/gz01180626/18/10/d16abc7388b63d227b567c7061d0f40c.jpg', '7.3万公里', '8.50万', '18.90万')
('传祺GS4 2015款 200T G-DCT精英版', 'https://image.guazistatic.com/gz01180605/11/13/ac11ee5fc5043335448e9b0159a9331e.jpg', '5.0万公里', '8.50万', '13.70万')
('传祺GS5 2012款 2.0L 自动两驱周年纪念版', 'https://image.guazistatic.com/gz01180703/17/16/6b63fe60a7718a90454f2a1660acb6cc.jpg', '2013年', '7.20万', '17.00万')
('传祺GS4 2016款 235T G-DCT精英版', 'https://image1.guazistatic.com/qn1805271851138e8b490f563b08b6f2253b669a18dba5.jpg', '2015年', '11.00万', '14.50万')
('传祺GS5 2014款 2.0L 自动两驱周年增值版', 'https://image1.guazistatic.com/qn180514133436c2d9682b4ee5eaa6cf9d527bc7428b80.jpg', '2018年', '7.24万', '17.00万')
('传祺GA6 2016款 235T 自动精英版', 'https://image1.guazistatic.com/qn1803241519488a22b5fa9268ef989d6d729a545eb20b.jpg', '10.5万公里', '9.90万', '13.80万')
('传祺GS4 2017款 235T 自动两驱精英版', 'https://image.guazistatic.com/gz01180418/14/55/a56eeb5d05ad33a0ac15e7e6b18aa59f.jpg', '2016年', '9.70万', '14.50万')
('传祺GS4 2017款 235T 自动两驱豪华智联版', 'https://image1.guazistatic.com/qn1804020430592603516d7b803815711e290aab7f101f.jpg', '2014年', '11.00万', '15.60万')
('传祺GS4 2017款 235T 自动两驱豪华智联版', 'https://image1.guazistatic.com/qn180622182519447692269c29e7b94cdf0358f8b2d913.jpg', '4.2万公里', '11.00万', '15.60万')
('传祺GA6 2016款 235T 自动豪华版', 'https://image1.guazistatic.com/qn1807051452493a8831ce9de9f8bd9800e40f204646f3.jpg', '0.9万公里', '10.50万', '14.80万')
('传祺GS4 2015款 200T G-DCT精英版', 'https://image1.guazistatic.com/qn1806240528416fad0cddbffd4630126ccc4488b9d40b.jpg', '10.4万公里', '8.30万', '13.70万')
